iter	Passed	Remaining
400	30177	45078
401	30223	44959
402	30267	44837
403	30312	44718
404	30354	44594
405	30393	44466
406	30433	44341
407	30474	44217
408	30515	44093
409	30561	43978
410	30602	43856
411	30642	43732
412	31083	44178
413	31114	44041
414	31284	44100
415	31548	44288
416	31591	44166
417	31638	44051
418	31689	43941
419	31748	43843
420	31800	43735
421	31843	43615
422	31888	43498
423	31939	43389
424	31988	43278
425	32037	43167
426	32079	43047
427	32126	42935
428	32167	42815
429	32207	42693
430	32264	42594
431	32308	42479
432	32348	42359
433	32391	42243
434	32432	42124
435	32473	42006
436	32515	41890
437	32556	41772
438	32604	41665
439	32645	41549
440	32684	41429
441	32727	41317
442	32769	41202
443	32816	41094
444	32980	41133
445	33014	41009
446	33050	40888
447	33103	40788
448	33156	40688
449	33207	40586
450	33258	40484
451	33311	40386
452	33378	40304
453	33455	40235
454	33490	40114
455	33528	39998
456	33575	39894
457	33611	39775
458	33646	39657
459	33681	39538
460	33716	39420
461	33750	39302
462	33780	39180
463	33816	39064
464	33851	38947
465	33886	38831
466	33935	38731
467	34000	38650
468	34068	38572
469	34354	38739
470	34681	38952
471	34785	38912
472	34869	38849
473	35158	39015
474	35255	38966
475	35370	38937
476	35483	38905
477	35605	38883
478	35673	38801
479	35759	38739
480	35868	38702
481	35934	38618
482	36046	38584
483	36119	38507
484	36216	38456
485	36298	38389
486	36357	38298
487	36434	38226
488	36520	38163
489	36592	38086
490	36676	38021
491	36758	37954
492	36830	37876
493	36915	37811
494	37102	37852
495	37178	37778
496	37307	37757
497	37511	37813
498	37667	37818
499	37786	37786
500	37888	37736
501	37986	37683
502	38064	37610
503	38202	37596
504	38250	37493
505	38332	37423
506	38399	37339
507	38483	37271
508	38544	37181
509	38609	37095
510	38690	37024
511	38760	36943
512	38834	36866
513	38919	36799
514	38992	36720
515	39063	36641
516	39168	36592
517	39285	36555
518	39422	36535
519	39506	36467
520	39560	36371
521	39610	36271
522	39662	36173
523	39712	36074
524	39757	35970
525	39807	35871
526	39857	35773
527	39912	35679
528	39971	35588
529	40068	35532
530	40159	35470
531	40269	35425
532	40355	35358
533	40469	35315
534	40591	35280
535	40692	35226
536	40799	35176
537	40960	35174
538	41008	35074
539	41058	34975
540	41127	34893
541	41162	34782
542	41207	34681
543	41286	34608
544	41352	34523
545	41405	34428
546	41772	34594
547	41918	34575
548	41969	34477
549	42057	34410
550	42173	34366
551	42255	34294
552	42322	34210
553	42386	34123
554	42468	34051
555	42536	33968
556	42678	33943
557	42770	33878
558	42819	33780
559	42856	33672
560	42895	33566
561	42934	33461
562	42984	33364
563	43027	33262
564	43073	33162
565	43114	33059
566	43170	32968
567	43198	32854
568	43236	32750
569	43376	32722
570	43411	32615
571	43453	32514
572	43507	32421
573	43552	32322
574	43648	32261
575	43716	32180
576	43758	32079
577	43807	31983
578	43863	31893
579	43910	31797
580	43983	31719
581	44060	31644
582	44126	31562
583	44176	31468
584	44235	31380
585	44312	31306
586	44394	31235
587	44452	31146
588	44514	31062
589	44702	31064
590	44845	31035
591	44941	30973
592	45107	30958
593	45333	30985
594	45471	30951
595	45529	30862
596	45680	30836
597	46065	30967
598	46234	30951
599	46295	30863
600	46447	30836
601	46559	30781
602	46614	30689
603	46655	30588
604	46704	30492
605	46749	30394
606	46808	30305
607	46868	30217
608	47048	30206
609	47540	30394
610	47850	30464
611	48040	30456
612	48117	30377
613	48178	30288
614	48238	30198
615	48323	30123
616	48393	30040
617	48457	29952
618	48520	29864
619	48622	29801
620	48693	29717
621	48746	29624
622	48812	29538
623	48885	29456
624	48946	29368
625	49017	29285
626	49086	29201
627	49171	29126
628	49233	29039
629	49300	28954
630	49387	28880
631	49469	28805
632	49532	28717
633	49599	28633
634	49648	28538
635	49712	28451
636	49768	28360
637	49816	28265
638	49864	28170
639	49912	28076
640	49959	27980
641	50018	27891
642	50058	27793
643	50087	27688
644	50118	27584
645	50157	27485
646	50190	27383
647	50221	27280
648	50260	27182
649	50311	27090
650	50353	26994
651	50404	26902
652	50439	26803
653	50481	26707
654	50522	26611
655	50562	26514
656	50601	26417
657	50879	26445
658	50926	26351
659	51005	26275
