iter	Logloss
0	0.6267817388
1	0.5676022683
2	0.5189186899
3	0.477491404
4	0.4427255315
5	0.4130187014
6	0.3892278288
7	0.3672565104
8	0.3487922516
9	0.3330984339
10	0.3182887687
11	0.3061988596
12	0.2956106606
13	0.2868117861
14	0.2770735954
15	0.2709903324
16	0.2633042877
17	0.2572484829
18	0.2516901808
19	0.2463464074
20	0.2419193928
21	0.2369467894
22	0.233667992
23	0.2298989822
24	0.2263691352
25	0.2230844121
26	0.2202678847
27	0.2173884399
28	0.2151855614
29	0.2131493342
30	0.2106558981
31	0.2081111926
32	0.2058482094
33	0.204320619
34	0.2029923847
35	0.2008253874
36	0.1996084228
37	0.1980104779
38	0.1964842979
39	0.1952623446
40	0.1939134821
41	0.1930749266
42	0.1920468092
43	0.1908977966
44	0.1899418525
45	0.189145975
46	0.1880177073
47	0.18733359
48	0.186333848
49	0.1851969266
50	0.183990569
51	0.1829715728
52	0.182109532
53	0.1809311338
54	0.1802439967
55	0.179041196
56	0.1784960682
57	0.1778571082
58	0.1772784336
59	0.1764396632
60	0.1757643989
61	0.1753086349
62	0.1746692576
63	0.1736163633
64	0.1727084631
65	0.1722182849
66	0.1714911365
67	0.1710000598
68	0.1703558304
69	0.1698576436
70	0.1693955898
71	0.1689075402
72	0.1682458843
73	0.1676989673
74	0.1672528929
75	0.1669338656
76	0.1666805669
77	0.1661071772
78	0.1658169286
79	0.1652583497
80	0.1646607097
81	0.1641222738
82	0.1637697306
83	0.1632807518
84	0.162841855
85	0.1624279919
86	0.1617274736
87	0.1612542775
88	0.1607459042
89	0.1602347505
90	0.1600053798
91	0.1594966498
92	0.1592456005
93	0.158666586
94	0.1583157844
95	0.1581994086
96	0.1577982458
97	0.157230273
98	0.1567368327
99	0.156204599
100	0.1558383479
101	0.1554089177
102	0.1550790896
103	0.154646248
104	0.1541933472
105	0.1540113572
106	0.153818118
107	0.1534550465
108	0.1530515778
109	0.1527513525
110	0.1524971027
111	0.1522456767
112	0.1519160918
113	0.1515036766
114	0.1510763221
115	0.1508152452
116	0.1504312643
117	0.1500933504
118	0.1497495465
119	0.1495562689
120	0.1491402244
121	0.1489561607
122	0.1486421386
123	0.1483952554
124	0.1482349613
125	0.1479567227
126	0.1477469776
127	0.1474046261
128	0.1471327505
129	0.1468163266
130	0.1466446257
131	0.1463111108
132	0.1459121304
133	0.1456049738
134	0.1453983443
135	0.1451024016
136	0.1448332513
137	0.1446847097
138	0.1442821797
139	0.1439733256
140	0.1435390618
